bact,phage,dil,count,dil_fact,den,lden,bact_time,block
b1.1,isp,100000000,64,200,1.28E+12,12.10720997,b1,1
b1.2,isp,100000000,64,200,1.28E+12,12.10720997,b1,1
b1.3,isp,100000000,54,200,1.08E+12,12.03342376,b1,1
b1.4,isp,100000000,56,200,1.12E+12,12.04921802,b1,1
b1.5,isp,100000000,72,200,1.44E+12,12.15836249,b1,1
b1.6,isp,100000000,62,200,1.24E+12,12.09342169,b1,1
b1.7,isp,100000000,51,200,1.02E+12,12.00860017,b1,1
b1.8,isp,100000000,44,200,8.8E+11,11.94448267,b1,1
b2.1,isp,NA,NA,200,NA,NA,b2,1
b2.2,isp,100000000,58,200,1.16E+12,12.06445799,b2,1
b2.3,isp,100000000,55,200,1.1E+12,12.04139269,b2,1
b2.4,isp,100000000,60,200,1.2E+12,12.07918125,b2,1
b2.5,isp,100000000,68,200,1.36E+12,12.13353891,b2,1
b2.6,isp,100000000,73,200,1.46E+12,12.16435286,b2,1
b2.7,isp,100000000,67,200,1.34E+12,12.1271048,b2,1
b2.8,isp,100000000,66,200,1.32E+12,12.12057393,b2,1
b5.1,isp,100000000,49,200,9.8E+11,11.99122608,b5,1
b5.2,isp,NA,NA,200,NA,NA,b5,1
b5.3,isp,NA,NA,200,NA,NA,b5,1
b5.4,isp,100000000,62,200,1.24E+12,12.09342169,b5,1
b5.5,isp,100000000,44,200,8.8E+11,11.94448267,b5,1
b5.6,isp,100000000,46,200,9.2E+11,11.96378783,b5,1
b5.7,isp,100000000,53,200,1.06E+12,12.02530587,b5,1
b5.8,isp,100000000,50,200,1E+12,12,b5,1
b1.1,3b,100000000,35,200,7E+11,11.84509804,b1,1
b1.2,3b,100000000,19,200,3.8E+11,11.5797836,b1,1
b1.3,3b,100000000,18,200,3.6E+11,11.5563025,b1,1
b1.4,3b,100000000,28,200,5.6E+11,11.74818803,b1,1
b1.5,3b,100000000,28,200,5.6E+11,11.74818803,b1,1
b1.6,3b,100000000,32,200,6.4E+11,11.80617997,b1,1
b1.7,3b,100000000,22,200,4.4E+11,11.64345268,b1,1
b1.8,3b,100000000,39,200,7.8E+11,11.8920946,b1,1
b2.1,3b,NA,NA,200,NA,NA,b2,1
b2.2,3b,1000000,140,200,28000000000,10.44715803,b2,1
b2.3,3b,1000000,100,200,20000000000,10.30103,b2,1
b2.4,3b,NA,NA,200,NA,NA,b2,1
b2.5,3b,100000000,26,200,5.2E+11,11.71600334,b2,1
