treat,treat2,rep,time,count,dil,dil_fact,phage,den,lden
clone1,clone,1,t1,1180,100000,40,N,9440000000,9.974971994
clone1,clone,2,t1,1084,100000,40,N,8672000000,9.938119269
clone1,clone,3,t1,1134,100000,40,N,9072000000,9.957703042
clone1,clone,4,t1,1320,100000,40,N,10560000000,10.02366392
clone1,clone,5,t1,1344,100000,40,N,10752000000,10.03148926
clone1,clone,6,t1,1712,100000,40,N,13696000000,10.13659375
clone2,clone,1,t1,1208,100000,40,N,9664000000,9.985156921
clone2,clone,2,t1,1296,100000,40,N,10368000000,10.01569499
clone2,clone,3,t1,1592,100000,40,N,12736000000,10.10503305
clone2,clone,4,t1,1288,100000,40,N,10304000000,10.01300585
clone2,clone,5,t1,1240,100000,40,N,9920000000,9.996511672
clone2,clone,6,t1,1080,100000,40,N,8640000000,9.936513742
clone3,clone,1,t1,920,100000,40,N,7360000000,9.866877814
clone3,clone,2,t1,1056,100000,40,N,8448000000,9.926753905
clone3,clone,3,t1,872,100000,40,N,6976000000,9.843606472
clone3,clone,4,t1,1576,100000,40,N,12608000000,10.1006462
clone3,clone,5,t1,1304,100000,40,N,10432000000,10.01836758
clone3,clone,6,t1,1416,100000,40,N,11328000000,10.05415324
clone4,clone,1,t1,1008,100000,40,N,8064000000,9.906550519
clone4,clone,2,t1,1144,100000,40,N,9152000000,9.961516011
clone4,clone,3,t1,1146,100000,40,N,9168000000,9.962274605
clone4,clone,4,t1,1080,100000,40,N,8640000000,9.936513742
clone4,clone,5,t1,944,100000,40,N,7552000000,9.878061981
clone4,clone,6,t1,712,100000,40,N,5696000000,9.755569981
mix,mix,1,t1,1192,100000,40,N,9536000000,9.979366242
mix,mix,2,t1,1040,100000,40,N,8320000000,9.920123326
mix,mix,3,t1,1080,100000,40,N,8640000000,9.936513742
mix,mix,4,t1,1008,100000,40,N,8064000000,9.906550519
mix,mix,5,t1,896,100000,40,N,7168000000,9.855397997
mix,mix,6,t1,920,100000,40,N,7360000000,9.866877814
mix,mix,7,t1,1080,100000,40,N,8640000000,9.936513742
mix,mix,8,t1,840,100000,40,N,6720000000,9.827369273
mix,mix,9,t1,1024,100000,40,N,8192000000,9.913389944
mix,mix,10,t1,1256,100000,40,N,10048000000,10.00207963
mix,mix,11,t1,968,100000,40,N,7744000000,9.888965344
mix,mix,12,t1,1400,100000,40,N,11200000000,10.04921802
clone1,clone,1,t2,976,100000,40,N,7808000000,9.892539805
clone1,clone,2,t2,1072,100000,40,N,8576000000,9.933284772
clone1,clone,3,t2,1184,100000,40,N,9472000000,9.976441689
clone1,clone,4,t2,1088,100000,40,N,8704000000,9.939718882
clone1,clone,5,t2,1264,100000,40,N,10112000000,10.00483706
clone1,clone,6,t2,1176,100000,40,N,9408000000,9.973497309
clone2,clone,1,t2,1160,100000,40,N,9280000000,9.967547976
clone2,clone,2,t2,1280,100000,40,N,10240000000,10.01029996
clone2,clone,3,t2,1440,100000,40,N,11520000000,10.06145248
clone2,clone,4,t2,1448,100000,40,N,11584000000,10.06385855
clone2,clone,5,t2,1624,100000,40,N,12992000000,10.11367601
clone2,clone,6,t2,1912,100000,40,N,15296000000,10.18457787
clone3,clone,1,t2,936,100000,40,N,7488000000,9.874365836
clone3,clone,2,t2,1160,100000,40,N,9280000000,9.967547976
clone3,clone,3,t2,1144,100000,40,N,9152000000,9.961516011
clone3,clone,4,t2,1224,100000,40,N,9792000000,9.990871405
clone3,clone,5,t2,1088,100000,40,N,8704000000,9.939718882
clone3,clone,6,t2,1256,100000,40,N,10048000000,10.00207963
clone4,clone,1,t2,1216,100000,40,N,9728000000,9.988023562
clone4,clone,2,t2,904,100000,40,N,7232000000,9.859258417
clone4,clone,3,t2,1096,100000,40,N,8768000000,9.942900541
clone4,clone,4,t2,1056,100000,40,N,8448000000,9.926753905
clone4,clone,5,t2,960,100000,40,N,7680000000,9.88536122
clone4,clone,6,t2,1632,100000,40,N,13056000000,10.11581014
mix,mix,1,t2,1520,100000,40,N,12160000000,10.08493357
mix,mix,2,t2,1400,100000,40,N,11200000000,10.04921802
mix,mix,3,t2,1024,100000,40,N,8192000000,9.913389944
mix,mix,4,t2,1144,100000,40,N,9152000000,9.961516011
mix,mix,5,t2,1072,100000,40,N,8576000000,9.933284772
mix,mix,6,t2,1112,100000,40,N,8896000000,9.949194774
mix,mix,7,t2,1216,100000,40,N,9728000000,9.988023562
mix,mix,8,t2,1320,100000,40,N,10560000000,10.02366392
mix,mix,9,t2,1264,100000,40,N,10112000000,10.00483706
mix,mix,10,t2,1088,100000,40,N,8704000000,9.939718882
mix,mix,11,t2,1392,100000,40,N,11136000000,10.04672922
mix,mix,12,t2,1560,100000,40,N,12480000000,10.09621459
clone1,clone,1,t3,620,100000,40,N,4960000000,9.695481676
clone1,clone,2,t3,880,100000,40,N,7040000000,9.847572659
clone1,clone,3,t3,872,100000,40,N,6976000000,9.843606472
clone1,clone,4,t3,776,100000,40,N,6208000000,9.792951708
clone1,clone,5,t3,952,100000,40,N,7616000000,9.881726935
clone1,clone,6,t3,1000,100000,40,N,8000000000,9.903089987
clone2,clone,1,t3,608,100000,40,N,4864000000,9.686993566
clone2,clone,2,t3,1040,100000,40,N,8320000000,9.920123326
clone2,clone,3,t3,488,100000,40,N,3904000000,9.591509809
clone2,clone,4,t3,872,100000,40,N,6976000000,9.843606472
clone2,clone,5,t3,896,100000,40,N,7168000000,9.855397997
clone2,clone,6,t3,696,100000,40,N,5568000000,9.745699227
clone3,clone,1,t3,584,100000,40,N,4672000000,9.669502834
clone3,clone,2,t3,696,100000,40,N,5568000000,9.745699227
clone3,clone,3,t3,752,100000,40,N,6016000000,9.779307828
clone3,clone,4,t3,496,100000,40,N,3968000000,9.598571663
clone3,clone,5,t3,544,100000,40,N,4352000000,9.638688887
clone3,clone,6,t3,768,100000,40,N,6144000000,9.788451207
clone4,clone,1,t3,472,100000,40,N,3776000000,9.577031986
clone4,clone,2,t3,436,100000,40,N,3488000000,9.542576476
clone4,clone,3,t3,560,100000,40,N,4480000000,9.651278014
clone4,clone,4,t3,456,100000,40,N,3648000000,9.56205483
clone4,clone,5,t3,560,100000,40,N,4480000000,9.651278014
clone4,clone,6,t3,528,100000,40,N,4224000000,9.62572391
mix,mix,1,t3,632,100000,40,N,5056000000,9.703807065
mix,mix,2,t3,944,100000,40,N,7552000000,9.878061981
mix,mix,3,t3,1024,100000,40,N,8192000000,9.913389944
mix,mix,4,t3,520,100000,40,N,4160000000,9.619093331
mix,mix,5,t3,480,100000,40,N,3840000000,9.584331224
mix,mix,6,t3,512,100000,40,N,4096000000,9.612359948
mix,mix,7,t3,440,100000,40,N,3520000000,9.546542663
mix,mix,8,t3,560,100000,40,N,4480000000,9.651278014
mix,mix,9,t3,616,100000,40,N,4928000000,9.692670699
mix,mix,10,t3,736,100000,40,N,5888000000,9.769967801
mix,mix,11,t3,544,100000,40,N,4352000000,9.638688887
mix,mix,12,t3,504,100000,40,N,4032000000,9.605520523
clone1,clone,1,t4,1120,100000,40,N,8960000000,9.95230801
clone1,clone,2,t4,824,100000,40,N,6592000000,9.819017199
clone1,clone,3,t4,904,100000,40,N,7232000000,9.859258417
clone1,clone,4,t4,826,100000,40,N,6608000000,9.820070034
clone1,clone,5,t4,906,100000,40,N,7248000000,9.860218185
clone1,clone,6,t4,1040,100000,40,N,8320000000,9.920123326
clone2,clone,1,t4,1144,100000,40,N,9152000000,9.961516011
clone2,clone,2,t4,1080,100000,40,N,8640000000,9.936513742
clone2,clone,3,t4,1336,100000,40,N,10688000000,10.02889645
clone2,clone,4,t4,784,100000,40,N,6272000000,9.79740605
clone2,clone,5,t4,944,100000,40,N,7552000000,9.878061981
clone2,clone,6,t4,968,100000,40,N,7744000000,9.888965344
clone3,clone,1,t4,904,100000,40,N,7232000000,9.859258417
clone3,clone,2,t4,816,100000,40,N,6528000000,9.814780146
clone3,clone,3,t4,906,100000,40,N,7248000000,9.860218185
clone3,clone,4,t4,960,100000,40,N,7680000000,9.88536122
clone3,clone,5,t4,856,100000,40,N,6848000000,9.835563752
clone3,clone,6,t4,992,100000,40,N,7936000000,9.899601659
clone4,clone,1,t4,888,100000,40,N,7104000000,9.851502953
clone4,clone,2,t4,864,100000,40,N,6912000000,9.839603729
clone4,clone,3,t4,848,100000,40,N,6784000000,9.831485839
clone4,clone,4,t4,816,100000,40,N,6528000000,9.814780146
clone4,clone,5,t4,936,100000,40,N,7488000000,9.874365836
clone4,clone,6,t4,832,100000,40,N,6656000000,9.823213313
mix,mix,1,t4,840,100000,40,N,6720000000,9.827369273
