treat,treat2,rep,time,count,dil,dil_fact,den,lden
clone1,clone,1,t1,12,100000,333.3333333,400000000,8.602059991
clone1,clone,2,t1,16,100000,333.3333333,533333333.3,8.726998728
clone1,clone,3,t1,23,100000,333.3333333,766666666.7,8.884606581
clone1,clone,4,t1,20,100000,333.3333333,666666666.7,8.823908741
clone1,clone,5,t1,21,100000,333.3333333,700000000,8.84509804
clone1,clone,6,t1,30,100000,333.3333333,1000000000,9
clone2,clone,1,t1,36,100000,333.3333333,1200000000,9.079181246
clone2,clone,2,t1,18,100000,333.3333333,600000000,8.77815125
clone2,clone,3,t1,19,100000,333.3333333,633333333.3,8.801632346
clone2,clone,4,t1,15,100000,333.3333333,500000000,8.698970004
clone2,clone,5,t1,14,100000,333.3333333,466666666.7,8.669006781
clone2,clone,6,t1,14,100000,333.3333333,466666666.7,8.669006781
clone3,clone,1,t1,20,100000,333.3333333,666666666.7,8.823908741
clone3,clone,2,t1,17,100000,333.3333333,566666666.7,8.753327667
clone3,clone,3,t1,23,100000,333.3333333,766666666.7,8.884606581
clone3,clone,4,t1,17,100000,333.3333333,566666666.7,8.753327667
clone3,clone,5,t1,16,100000,333.3333333,533333333.3,8.726998728
clone3,clone,6,t1,21,100000,333.3333333,700000000,8.84509804
clone4,clone,1,t1,20,100000,333.3333333,666666666.7,8.823908741
clone4,clone,2,t1,13,100000,333.3333333,433333333.3,8.636822098
clone4,clone,3,t1,22,100000,333.3333333,733333333.3,8.865301426
clone4,clone,4,t1,18,100000,333.3333333,600000000,8.77815125
clone4,clone,5,t1,9,100000,333.3333333,300000000,8.477121255
clone4,clone,6,t1,7,100000,333.3333333,233333333.3,8.367976785
mix,mix,1,t1,8,100000,333.3333333,266666666.7,8.425968732
mix,mix,2,t1,9,100000,333.3333333,300000000,8.477121255
mix,mix,3,t1,12,100000,333.3333333,400000000,8.602059991
mix,mix,4,t1,7,100000,333.3333333,233333333.3,8.367976785
mix,mix,5,t1,8,100000,333.3333333,266666666.7,8.425968732
mix,mix,6,t1,4,100000,333.3333333,133333333.3,8.124938737
mix,mix,7,t1,7,100000,333.3333333,233333333.3,8.367976785
mix,mix,8,t1,4,100000,333.3333333,133333333.3,8.124938737
mix,mix,9,t1,5,100000,333.3333333,166666666.7,8.22184875
mix,mix,10,t1,25,10000,333.3333333,83333333.33,7.920818754
mix,mix,11,t1,16,10000,333.3333333,53333333.33,7.726998728
mix,mix,12,t1,22,10000,333.3333333,73333333.33,7.865301426
clone1,clone,1,t2,21,1000,333.3333333,7000000,6.84509804
clone1,clone,2,t2,27,1000,333.3333333,9000000,6.954242509
clone1,clone,3,t2,22,10000,333.3333333,73333333.33,7.865301426
clone1,clone,4,t2,31,1000,333.3333333,10333333.33,7.014240439
clone1,clone,5,t2,31,1000,333.3333333,10333333.33,7.014240439
clone1,clone,6,t2,32,1000,333.3333333,10666666.67,7.028028724
clone2,clone,1,t2,26,1000,333.3333333,8666666.667,6.937852093
clone2,clone,2,t2,25,1000,333.3333333,8333333.333,6.920818754
clone2,clone,3,t2,22,1000,333.3333333,7333333.333,6.865301426
clone2,clone,4,t2,2,10000,333.3333333,6666666.667,6.823908741
clone2,clone,5,t2,2,10000,333.3333333,6666666.667,6.823908741
clone2,clone,6,t2,74,10000,333.3333333,246666666.7,8.392110465
clone3,clone,1,t2,20,1000,333.3333333,6666666.667,6.823908741
clone3,clone,2,t2,26,1000,333.3333333,8666666.667,6.937852093
clone3,clone,3,t2,34,1000,333.3333333,11333333.33,7.054357662
clone3,clone,4,t2,37,1000,333.3333333,12333333.33,7.091080469
clone3,clone,5,t2,28,1000,333.3333333,9333333.333,6.970036777
clone3,clone,6,t2,31,1000,333.3333333,10333333.33,7.014240439
clone4,clone,1,t2,21,1000,333.3333333,7000000,6.84509804
clone4,clone,2,t2,20,1000,333.3333333,6666666.667,6.823908741
clone4,clone,3,t2,16,1000,333.3333333,5333333.333,6.726998728
clone4,clone,4,t2,22,1000,333.3333333,7333333.333,6.865301426
clone4,clone,5,t2,6,1000,333.3333333,2000000,6.301029996
clone4,clone,6,t2,8,1000,333.3333333,2666666.667,6.425968732
mix,mix,1,t2,6,1000,333.3333333,2000000,6.301029996
mix,mix,2,t2,9,1000,333.3333333,3000000,6.477121255
mix,mix,3,t2,9,1000,333.3333333,3000000,6.477121255
mix,mix,4,t2,11,1000,333.3333333,3666666.667,6.56427143
mix,mix,5,t2,15,1000,333.3333333,5000000,6.698970004
mix,mix,6,t2,62,10000,333.3333333,206666666.7,8.315270435
mix,mix,7,t2,4,10000,333.3333333,13333333.33,7.124938737
mix,mix,8,t2,60,10000,333.3333333,200000000,8.301029996
mix,mix,9,t2,5,10000,333.3333333,16666666.67,7.22184875
mix,mix,10,t2,27,100000,333.3333333,900000000,8.954242509
mix,mix,11,t2,9,100000,333.3333333,300000000,8.477121255
mix,mix,12,t2,7,10000,333.3333333,23333333.33,7.367976785
clone1,clone,1,t3,17,1000,333.3333333,5666666.667,6.753327667
clone1,clone,2,t3,28,100,333.3333333,933333.3333,5.970036777
clone1,clone,3,t3,15,10000,333.3333333,50000000,7.698970004
clone1,clone,4,t3,8,1000,333.3333333,2666666.667,6.425968732
clone1,clone,5,t3,8,1000,333.3333333,2666666.667,6.425968732
clone1,clone,6,t3,16,1000,333.3333333,5333333.333,6.726998728
clone2,clone,1,t3,6,1000,333.3333333,2000000,6.301029996
clone2,clone,2,t3,14,1000,333.3333333,4666666.667,6.669006781
clone2,clone,3,t3,29,1000,333.3333333,9666666.667,6.985276743
clone2,clone,4,t3,12,1000,333.3333333,4000000,6.602059991
clone2,clone,5,t3,21,1000,333.3333333,7000000,6.84509804
clone2,clone,6,t3,13,10000,333.3333333,43333333.33,7.636822098
clone3,clone,1,t3,6,1000,333.3333333,2000000,6.301029996
clone3,clone,2,t3,7,1000,333.3333333,2333333.333,6.367976785
clone3,clone,3,t3,33,1000,333.3333333,11000000,7.041392685
clone3,clone,4,t3,13,1000,333.3333333,4333333.333,6.636822098
clone3,clone,5,t3,14,1000,333.3333333,4666666.667,6.669006781
clone3,clone,6,t3,19,1000,333.3333333,6333333.333,6.801632346
clone4,clone,1,t3,11,1000,333.3333333,3666666.667,6.56427143
clone4,clone,2,t3,10,1000,333.3333333,3333333.333,6.522878745
clone4,clone,3,t3,13,1000,333.3333333,4333333.333,6.636822098
clone4,clone,4,t3,20,1000,333.3333333,6666666.667,6.823908741
clone4,clone,5,t3,12,1000,333.3333333,4000000,6.602059991
clone4,clone,6,t3,9,1000,333.3333333,3000000,6.477121255
mix,mix,1,t3,5,10000,333.3333333,16666666.67,7.22184875
mix,mix,2,t3,8,10000,333.3333333,26666666.67,7.425968732
mix,mix,3,t3,6,10000,333.3333333,20000000,7.301029996
mix,mix,4,t3,9,10000,333.3333333,30000000,7.477121255
mix,mix,5,t3,24,1000,333.3333333,8000000,6.903089987
mix,mix,6,t3,3,10000,333.3333333,10000000,7
mix,mix,7,t3,8,1000,333.3333333,2666666.667,6.425968732
mix,mix,8,t3,45,10000,333.3333333,150000000,8.176091259
